hand,flop5,reach,solver_F_pct,candidate_F_pct,solver_C_pct,candidate_C_pct,solver_R_pct,candidate_R_pct,source_loss_bb,oracle_regret_bb,p99_oracle_regret_bb,max_oracle_regret_bb
Top pair,[9-2]xx,67549.00569,0.0,0.0,75.50284167844931,50.0,24.49715810923453,50.0,0.005970653480626388,0.00880684086406291,0.10457999999999998,0.2174645
Underpair,Axx,41003.6505,8.927490991457699,0.0,88.76255988810118,100.0,2.309947405439913,0.0,0.0003179525155805984,0.0033815807074357926,0.051001200000000003,0.0705652
Underpair,Bxx,191088.0335,0.693059866740478,0.0,97.28091316171643,100.0,2.026026876660804,0.0,-5.1705423205427713e-05,0.00037862158527608703,0.010609000000000002,0.0472597
Underpair,[9-2]xx,28854.1864,0.0,0.0,90.6460982542471,100.0,9.35390169372511,0.0,-0.0005215641450602449,0.0006766700352050126,0.012241999999999998,0.015582999999999991
Second pair,ABB,11374.9468,75.5481502310868,100.0,21.91601435595725,0.0,2.535833951888021,0.0,0.011571049706954351,0.017295635398981383,0.130447,0.141281
Second pair,Axx,124344.94904,16.938061332517538,0.0,69.79529675686962,100.0,13.266642160077126,0.0,0.004983288378352098,0.015126882188333125,0.2011099,0.2690023
Second pair,BBB,2367.9475,76.47806056338241,100.0,23.228965117579676,0.0,0.2929712442231088,0.0,0.0153361034886926,0.0212209360245698,0.123116,0.161437
Second pair,Bxx,342773.03688,1.672036072317375,0.0,80.09705891639848,50.0,18.230904967083106,50.0,0.01741736202198735,0.01973667114909789,0.18771145,0.3859164
Second pair,[9-2]xx,54927.083582,0.0,0.0,85.01350897212217,100.0,14.986490605527719,0.0,-0.0013077565963674704,0.0006881141694933527,0.015609999999999857,0.07617000000000011
Weak pair,Axx,112008.8531,95.02592533470393,100.0,4.9518860343170505,0.0,0.022188314038544512,0.0,0.0010291987837684217,0.002969765305075872,0.0419361,0.0639196
Weak pair,Bxx,289523.826,69.32711338302376,45.76969513382984,30.672865609845832,54.23030486617016,2.0888378561286353e-05,0.0,0.0006995049195455641,0.0028580772646607327,0.0420422,0.162987
Weak pair,[9-2]xx,30112.3583,13.774672645343758,0.0,86.05391289231073,100.0,0.17141556429673596,0.0,-0.0021325535431969624,0.00012326503452902922,0.0053635,0.0066782
Third pair,ABB,6457.10755,96.83149927099636,100.0,2.9686605949687177,0.0,0.19984401440703897,0.0,0.0006415226576735603,0.0015430145602886853,0.040349,0.0762838
Third pair,Axx,70119.523556,31.451517792424877,23.27255392282774,50.38880713047785,76.72744607717226,18.159675015405046,0.0,0.0015985475563968982,0.006125677120532175,0.064208,0.18961509999999998
Third pair,BBB,2464.3925,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Third pair,Bxx,225171.67678,8.423375864945843,0.0,76.42816423127887,100.0,15.148459206959599,0.0,0.00585037309333672,0.009627302640220273,0.1885775,0.40003869999999997
Third pair,[9-2]xx,37393.945135,1.4787394001988872e-07,0.0,92.11048839384462,100.0,7.8895114425620925,0.0,-0.0010559236920745223,0.000197039088085485,0.007585999999999959,0.055129000000000074
Low pocket pair,ABB,40695.164,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low pocket pair,Axx,109048.3775,99.66953494360584,100.0,0.33046505639416784,0.0,0.0,0.0,6.660520407824693e-05,0.0003291516216626882,0.0168558,0.038640600000000004
Low pocket pair,BBB,22749.312,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Low pocket pair,Bxx,269583.2971,97.67379103044303,100.0,2.3261629961080774,0.0,4.603229437243944e-05,0.0,0.0003249934436223455,0.000803059342498115,0.0242374,0.0424122
Low pocket pair,[9-2]xx,24781.13206,83.28639105974726,99.99999999999999,16.71348310836531,0.0,0.00012657080767762148,0.0,0.005966292479375756,0.011818494936318095,0.0621294,0.0682337
OESD,ABB,3208.19284,4.651421933414701,0.0,40.37472829086795,50.00000000000001,54.97384957915715,50.00000000000001,0.0159406320099752,0.023791225710297403,0.46392605,0.46392605
OESD,Axx,13940.25261,0.0,0.0,27.0697269143772,0.0,72.93027202836005,100.0,0.00026051961171025674,0.004695125338040749,0.03141999999999996,0.04220000000000006
OESD,BBB,22358.72437,18.310184780806395,0.0,62.83755620859344,100.0,18.852260079861523,0.0,0.029315042798557567,0.03281300177287798,0.6097637,0.6177731
OESD,Bxx,156626.78186,1.658449818731052,0.0,40.82277128547075,50.0,57.51877890851276,50.0,0.008024804640675445,0.011348336717965578,0.19794245,0.736281
