flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
A[J-T][9-5],Two pair+,10,206,16243.408836000008,0.4624435581818182,0.5375564218181819,X/B,0.0005238596421303513,0.2125249999999994
A[J-T][9-5],Second pair,10,306,16205.295485999999,0.8212198370370369,0.17878016363636362,X,0.000439476279580409,0.0431136020699995
A[J-T][9-5],Underpair,10,150,12707.424,0.9738435611111111,0.02615642777777778,X,1.5535483187067525e-05,0.0008145951999999568
A[J-T][4-2],Weak pair,6,270,14687.387950000002,0.726097302579365,0.2739026775793651,X,0.0023740900286967075,0.055990450130000015
A[J-T][4-2],Top pair,6,342,28639.097099999977,0.7861901111111113,0.2138098947368421,X,0.0006415869543055275,0.009587688559999207
A[J-T][4-2],Two pair+,6,120,8672.811940000001,0.2886927083333333,0.7113072750000001,B,0.000911680362343841,0.0072207749999989804
A[J-T][4-2],Third pair,2,6,139.8356,1.3666666666666667e-05,0.9999863333333333,B,0.0,0.0
A[J-T][4-2],Air,6,300,11521.368718000005,0.8821342876602563,0.1178657158119658,X,0.00233274375528504,0.10559494610999991
A[J-T][4-2],Second pair,6,189,10122.645592000006,0.7423060939393941,0.2576939111111111,X,0.0008751383856697226,0.046049907900000166
A[J-T][4-2],Gutshot,6,304,18898.818739999984,0.40050052083333326,0.599499485576923,X/B,0.0009173672378239306,0.018029747579999623
A[J-T][4-2],Underpair,6,90,7806.792000000003,0.9727605092592592,0.027239527777777776,X,5.287933355990966e-06,0.00015998112000019659
A[9-7]x,Weak pair,18,552,18712.207960000007,0.7205788742283952,0.2794211359567902,X,0.002173374014444168,0.10941110052000003
A[9-7]x,Top pair,18,1188,99781.5601000002,0.8143914873737376,0.1856085101010101,X,0.0011905173623310578,0.015689608470000848
A[9-7]x,Air,18,1968,112741.25232399997,0.8159965957039488,0.1840034024560556,X,0.004200135819206673,0.08034575633600002
A[9-7]x,Gutshot,16,128,3989.7083180000004,0.27532878211805567,0.7246711927083334,B,0.0023683376376015084,0.012881691250000316
A[9-7]x,OESD,9,52,1303.1710639999997,0.19529444444444444,0.804705611111111,B,0.002968968962506766,0.011568539199999606
A[9-7]x,Third pair,12,93,2355.3298379999997,0.2863264074074074,0.7136735833333335,B,0.004602627744866005,0.1779
A[9-7]x,Two pair+,18,242,17348.200299999986,0.35401795356125354,0.6459820421652421,X/B,0.00394554509989111,0.23990000000000009
A[9-7]x,Second pair,18,228,8784.428812,0.561437402160494,0.4385626086419753,X/B,0.0005122520921075124,0.05445999999999991
A[9-7]x,Underpair,18,528,46367.72699999996,0.9198579421296296,0.08014207407407409,X,7.527853672567072e-05,0.0034435201700000915
A[6-2]x,Weak pair,9,120,1190.7069699999997,0.37061342592592594,0.6293865555555556,X/B,0.0070518050102474136,0.04596499999999963
A[6-2]x,Top pair,10,660,57017.70010000008,0.7982709257575757,0.20172908030303033,X,0.0009571074843110471,0.009460053749999985
A[6-2]x,Third pair,2,9,274.80879999999996,0.17660108333333333,0.82339875,B,0.0026845258118227354,0.015617762160000126
A[6-2]x,Two pair+,10,138,7416.097000000001,0.25159624223227756,0.7484037595776772,B,0.004212335876850382,0.07802464639999869
A[6-2]x,Second pair,9,75,1893.6147259999998,0.21266394444444447,0.7873360432098766,B,0.00038547979941316857,0.016104786300000028
A[6-2]x,Underpair,10,480,40871.8414,0.8581173014880953,0.14188269787698413,X,0.00013591284583756676,0.008583075199999967
A[6-2]x,OESD,4,16,372.79110000000003,0.143286375,0.856713625,B,0.0005198351592889127,0.0022245457399996836
A[6-2]x,Air,10,1252,71011.64514400013,0.8373358068417687,0.162664191361869,X,0.00403306464886241,0.12393686768399999
A[6-2]x,Gutshot,8,48,1233.2901760000004,0.33052878125000007,0.66947121875,B,0.006525710689602568,0.05050019520000006
BBB,Weak pair,4,204,9863.57825999999,0.8037747424768519,0.19622526793981482,X,0.0004860629700270249,0.014534599020000094
BBB,Gutshot,4,140,10211.789253999998,0.5189988359375001,0.48100116406250004,X/B,0.004365242727249559,0.10736450000000008
BBB,Air,4,68,1280.2213860000006,0.9987067625,0.0012932375000000002,X,0.0,0.0
BBB,Top pair,4,144,10298.777200000002,0.7586364209401708,0.24136357905982908,X,0.000504969313467493,0.016526454719999605
