"board","board_index","decision_node","acting_player","combo","reach_probability","check_frequency","donk_frequency","ev_check","ev_donk","mixed_ev"
"As Kh 9d","4","BB_FIRST","BB","QdAc","139.148","1","0","47.2598","45.8686","47.2598"
"As Kh 9d","4","BB_FIRST","BB","QdAd","19.1854","0.988209","0.011791","54.0969","51.8363","54.0702452654"
"As Kh 9d","4","BB_FIRST","BB","QdAh","139.148","1","0","48.7064","46.6043","48.7064"
"As Kh 9d","4","BB_FIRST","BB","QhKc","139.645","1","0","6.66919","2.32939","6.66919"
"As Kh 9d","4","BB_FIRST","BB","QhKd","140.575","1","0","6.8681","1.39282","6.8681"
"As Kh 9d","4","BB_FIRST","BB","QhKs","139.645","1","0","7.1869","2.29765","7.1869"
"As Kh 9d","4","BB_FIRST","BB","QhAc","138.184","1","0","47.2708","45.6828","47.2708"
"As Kh 9d","4","BB_FIRST","BB","QhAd","139.148","1","0","47.7399","45.5642","47.7399"
"As Kh 9d","4","BB_FIRST","BB","QhAh","18.9214","0.988987","0.011013","53.9929","51.9033","53.9698872352"
"As Kh 9d","4","BB_FIRST","BB","QsKc","139.645","1","0","7.43009","3.20275","7.43009"
"As Kh 9d","4","BB_FIRST","BB","QsKd","140.575","1","0","7.63741","1.64618","7.63741"
"As Kh 9d","4","BB_FIRST","BB","QsKs","9.9103","1","0","15.0857","10.9887","15.0857"
"As Kh 9d","4","BB_FIRST","BB","QsAc","138.184","0.999548","0.000452","45.6538","45.4597","45.6537122668"
"As Kh 9d","4","BB_FIRST","BB","QsAd","139.148","1","0","46.1451","45.3455","46.1451"
"As Kh 9d","4","BB_FIRST","BB","QsAh","138.184","0.99998","2E-05","47.1199","46.4746","47.119887094"
"As Kh 9d","4","BB_FIRST","BB","KcAd","32.2492","0.996394","0.003606","134.655","133.964","134.652508254"
"As Kh 9d","4","BB_FIRST","BB","KcAh","32.0192","0.997928","0.002072","127.518","127.001","127.516928776"
"As Kh 9d","4","BB_FIRST","BB","KdAc","32.2492","0.999301","0.000699","131.878","130.499","131.877036079"
