flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
K/Qx dis,A-high,42,1134,377.8040329999999,0.8885974687727716,0.11140252862219732,F,0.0007575506842417282,0.85795
K/Qx dis,Air,41,1039,263.04725299999984,0.9716626098098585,0.02833739023084253,F,0.00206826532172399,0.590622
K/Qx con,Underpair,13,307,60.65047900000001,0.3748377172138055,0.6251622781482828,F/C,0.13265832571443525,1.110175
K/Qx dis,Underpair,35,546,59.161024000000026,0.12772363463112027,0.8722763717222091,C,0.14689041252976098,1.0325248999999999
K/Qx con,A-high + draw,7,80,77.88748000000001,0.12597686607142858,0.8740231339285714,C,0.023559312405991316,0.3606636
K/Qx dis,A-high + draw,6,48,64.34131,0.0111226875,0.9888773125,C,0.006708329707134959,0.185683427517
BBx,2 overcards + draw,23,421,40.895331000000006,0.020942045702228435,0.9790579554419364,C,0.004489348504604763,0.39016481308750006
K/Qx con,2 overcards,1,12,0.048344,1.0,0.0,F,0.0,0.0
[J-8]x con,Air + draw,26,685,2506.029517,0.19837210926409046,0.8016278899346277,C,0.3690511926016489,2.4872368000000002
[J-8]x con,Third pair,26,351,752.1778799999998,0.12582341239346403,0.874176586003972,C,0.0970745231635601,1.4195641
[J-8]x con,Two pair+,26,490,2118.431329000001,0.0,1.0,C,0.0,0.0
[J-8]x con,Weak pair,19,234,920.0953319999996,0.9924812030075189,0.007518796992481203,F,8.4073150867806e-06,0.9482269999999999
[J-8]x con,Second pair,26,441,950.4600970000004,0.03408906350945781,0.9659109364905423,C,0.01671048863080025,0.9679672
[J-8]x con,A-high + draw,23,198,579.8840270000001,0.19812774779112638,0.8018722546243325,C,0.09565107307094939,1.7281792
[J-8]x con,Top pair,26,926,1674.2921340000005,0.009540369696284107,0.9904596275939256,C,0.000246549317504612,0.21191566033620002
[J-8]x con,2 overcards + draw,26,771,2785.4107470000017,0.29727128622051857,0.7027287137055054,C,0.1861402865585072,1.5091042
[J-8]x con,Underpair,22,401,704.9229049999998,0.1351032251121463,0.8648967737830554,C,0.008394256779213937,0.3260841
[J-8]x con,2 overcards,24,1399,2062.927175000002,0.8742703917235392,0.12572961097725052,F,0.0031530785936184484,0.8450240000000001
[J-8]x dis,Third pair,67,723,924.6944090000001,0.03525267699677927,0.9647473243923789,C,0.03747047571300382,0.9148208999999999
[J-8]x dis,Air + draw,67,1776,3868.368616000002,0.09796568399269616,0.9020343153607696,C,0.2536705039651289,3.1299468999999998
[J-8]x dis,Second pair,67,1368,1954.8826719999995,0.0065947746801705755,0.9934052253198293,C,0.0025427047203590144,0.6200014590665
[J-8]x dis,Two pair+,67,874,3129.140766999999,0.0,1.0,C,0.0,0.0
[J-8]x dis,Top pair,67,2378,3158.237755,0.000944720013732789,0.9990552799862672,C,0.00012883209899599687,0.14724348857230002
[J-8]x dis,A-high + draw,22,185,566.8526229999999,0.1118225781926407,0.8881774218073594,C,0.042855647508527064,2.168856
[J-8]x dis,Underpair,51,611,693.9590749999998,0.08794227298986147,0.9120577327661664,C,0.0059411393137519634,0.333316
[J-8]x dis,2 overcards + draw,67,1935,4344.210797000002,0.13755355936200442,0.862446438029441,C,0.1363112531925963,1.3006783
[J-8]x dis,2 overcards,66,3266,3562.5224029999945,0.8393063175472293,0.16069368277436008,F,0.005252673317161565,0.712456
[J-8]x dis,Air,64,1533,1825.6599310000006,0.9887402149931154,0.011259786185403005,F,0.0006555753031136298,0.24331394369099998
[J-8]x dis,A-high,64,796,1519.2382169999996,0.8049694220807225,0.19503057787531083,F,0.014641042668961542,0.632539
[J-8]x dis,Weak pair,58,728,2207.450526,0.96135057073153,0.03864942926847002,F,0.21226125362961926,3.85495
[J-8]x con,Air,21,619,914.7586369999998,0.9948132315786893,0.0051867672003094506,F,0.00032857220534468045,0.0180216014915
[J-8]x con,A-high,20,195,610.9419449999999,0.9228849023595849,0.077115090497558,F,4.7328785893799214e-05,0.08333294336290001
[J-8]x con,Overpair,18,204,818.1899739999998,0.0,1.0,C,0.0,0.0
[J-8]x dis,Overpair,46,486,1491.2398110000001,0.0,1.0,C,0.0,0.0
[7-4]x,Weak pair,16,180,2650.546340000001,0.5712147378472222,0.4287852673611111,F/C,0.5781629768137935,2.47719
[7-4]x,Air + draw,19,372,2962.511343000001,0.1328644072368421,0.8671355944078947,C,0.08697844441414312,2.5810394
[7-4]x,Third pair,20,244,1883.0997019999988,0.04594057844719574,0.9540594186116278,C,0.010650775709115861,0.6910751
[7-4]x,Air,10,107,412.54457799999994,0.9977877105555557,0.0022122894444444445,F,0.00042571105539489663,0.006998216171100001
[7-4]x,A-high,7,29,275.19786300000004,0.9823193809523809,0.01768061904761905,F,0.0002119604313174314,0.0274836659328
[7-4]x,Two pair+,20,380,5207.7770500000015,0.0,1.0,C,0.0,0.0
[7-4]x,Second pair,20,374,3082.220162,0.019610264901642475,0.9803897350983576,C,0.0037542805384291637,0.4520187
[7-4]x,A-high + draw,15,132,1140.9987999999998,0.1265386888888889,0.873461311111111,C,0.16586477027788288,1.3367088
[7-4]x,Top pair,20,475,4270.486918999997,0.017524528219696973,0.9824754717803031,C,0.0022976294353136686,0.4377537
[7-4]x,Overpair,20,570,5551.858910000005,0.004465369444444444,0.9955346291666667,C,0.0,0.0
[7-4]x,2 overcards + draw,20,1827,16556.367328999986,0.5488775106068335,0.45112248919205244,F/C,0.5099209685578806,3.637655
[7-4]x,2 overcards,20,2087,7355.619802,0.8797939019030541,0.12020610013630986,F,0.003523954314376,0.919179
[7-4]x,Underpair,10,90,905.5508559999997,0.06961539444444445,0.9303846055555557,C,0.0027038828227842955,0.1559225218698
