flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
A[J-T]x,Low pocket pair,14,336,131.53616599999995,0.758804272505669,0.23312829209183675,0.008067470039682539,F,False,0,0,,,0.0341720777525766,0.340297602597
A[J-T]x,Top pair,16,912,2370.327694000002,0.011054705043859648,0.7779079824561405,0.21103731578947368,C,False,16,16,0.9999901,0.017024881756756753,0.0019309928528556408,0.16244251947000024
A[J-T]x,Air,16,620,897.2253940000006,0.8918785752926761,0.10240946262305402,0.00571198211996337,F,False,16,16,0.14189358238983238,0.9931949468906095,0.02641060997731326,0.8336994938660001
A[J-T]x,Gutshot,16,772,1480.9762239999993,0.06620973697439712,0.5035113501211462,0.4302789151900183,C/R,False,16,16,0.9997262399305556,0.08825968549722917,0.02086323399030807,0.19295870506499996
A[J-T]x,Third pair,12,117,61.33841599999997,0.12636431574074072,0.3172084921296296,0.5564272217592593,R/C,False,12,12,0.9793194923611112,0.3377317833333333,0.0017689519494682587,0.08348113779899999
A[J-T]x,OESD,5,84,40.26288000000001,0.0,0.35837477,0.6416252100000001,R/C,False,5,5,0.9999999666666668,0.0,0.013421491780201045,0.28433003060000034
A[J-T]x,Two pair+,16,326,704.2548010000005,1.306818181818182e-07,0.26720176505681814,0.7327981156250001,R,False,16,16,0.9999997708333332,1.1513157894736843e-07,0.1864958073220276,0.8521005794400012
A[J-T]x,Weak pair,15,384,1115.5829049999993,0.6463819055026454,0.24140055496031745,0.11221753851851851,F/C,False,0,0,,,0.0076853991143138204,0.408654789025
A[J-T]x,Second pair,16,495,835.8576599999999,0.30482517754629623,0.44419555951178447,0.25097927592592595,C/F,False,16,16,0.9748586119791667,0.4119013322334368,0.21044952498642727,1.4935812746000001
A[J-T]x,Underpair,16,240,614.9781489999998,0.24075781770833332,0.7364996267361111,0.022742576388888887,C,False,0,0,,,0.00012658371373576194,0.035085165129600006
A[9-2]x,Low pocket pair,18,312,270.53426899999977,0.3534378436728394,0.5712166524691357,0.07534548271604939,C/F,False,0,0,,,0.03340681135959138,0.32483302921499996
A[9-2]x,Top pair,28,1812,20796.08021000003,0.0034218100649350647,0.9123910677489179,0.08418712564935064,C,False,28,28,0.9999999433035714,0.004909530279503105,0.0010424269835860819,0.05944440960000001
A[9-2]x,Air,28,3220,26881.12549600006,0.7184644325158489,0.25701524240061974,0.02452032722894489,BDFD,True,28,28,0.6752123377200802,0.9420946820476281,0.009497527676255137,0.4966816225080001
A[9-2]x,Gutshot,25,296,2006.4341340000003,0.0,0.899124715391276,0.10087529683094605,C,False,25,25,1.0000000144444443,0.0,0.0004726417206439997,0.15273513072000072
A[9-2]x,OESD,13,68,159.699303,0.0,0.7285940384615385,0.2714059615384615,C,False,13,13,0.9999999999999999,0.0,0.0008882951457008667,0.25180739186000023
A[9-2]x,Third pair,14,102,187.84220900000005,0.014606208333333334,0.452562744047619,0.5328310218253969,R/C,False,14,14,0.9999999880952382,0.043818625,0.0252827725118768,0.32724187264399995
A[9-2]x,Two pair+,28,380,2749.6796020000006,0.0,0.4382051314695108,0.5617948657832363,R/C,False,28,28,0.9999999880952382,0.0,0.05479094684659919,0.7448517213900004
A[9-2]x,Second pair,25,291,760.3981430000002,0.0016363377777777774,0.42234865977777786,0.5760150233333333,R/C,False,25,25,0.9999999753333334,0.004908925333333334,0.009647058395641585,0.08174986894800007
A[9-2]x,Underpair,28,984,14189.794409999999,0.0007455059382086168,0.9378016788123581,0.061452821782879814,C,False,0,0,,,0.0007228827849722907,0.02983608693200006
A[9-2]x,Weak pair,18,312,784.0566390000007,0.14368145370370367,0.6373889975308642,0.21892950848765427,C/R,False,0,0,,,0.0979294229884922,0.34962686521380004
BBB,Low pocket pair,4,162,24.454980999999993,0.9894562976190476,0.007572428571428569,0.0029712688492063493,F,False,0,0,,,0.0,0.0
BBB,Gutshot,4,362,96.905966,0.35184220371809827,0.2791792350693095,0.36897855820054415,R/F,False,4,4,0.7311096125801282,0.41159663480392156,0.4368861773584115,3.0402771
BBB,Air,4,68,5.032399,0.9343234729166667,0.05629574375,0.009380772916666667,F,False,4,4,0.08747652222222223,0.9997235,0.0,0.0
BBB,Top pair,3,36,7.55621,0.480459,0.30411925,0.21542172222222222,BDFD,True,3,3,0.7292240416666667,0.8998250833333333,0.0,0.0
BBB,OESD,4,197,28.778595000000003,0.03504357624538242,0.387878209896161,0.5770781586639341,R/C,False,4,4,0.9768327777777778,0.041876931677475804,0.08813685080901125,2.9888975171539998
BBB,Two pair+,4,214,49.47187400000001,0.0011800568324027724,0.3523828257243935,0.64643709154794,R/C,False,4,4,0.9990975555555555,0.0012299262681629475,0.10110913375788241,2.4271347649999995
BBB,Third pair,2,6,0.005235,0.7894468333333333,0.11894233333333334,0.091611,F,False,2,2,0.31583,1.0,0.0,0.0
BBx,Low pocket pair,41,948,62.31223399999998,0.8295295712156405,0.14488278413666278,0.025587635249709632,F,False,0,0,,,0.041538014878578076,1.2382558162500001
