flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
A[6-2]x,Two pair+,10,124,792.0627660000002,0.0,0.47637998728021974,0.5236200281043957,C/R,0.06761368507823748,2.3400499999999993
A[6-2]x,Second pair,9,75,109.32578000000002,0.0,0.1648318827160494,0.8351681265432098,R,0.005575585770668683,0.08846364141999992
A[6-2]x,Underpair,10,480,12020.62027200001,0.006932056097883599,0.9660587411904761,0.027009215416666666,C,0.000209107026931108,0.020280412899999996
A[6-2]x,OESD,4,15,17.259558,0.0,0.8474898958333333,0.15251016666666667,C,3.375329788867938e-09,0.00026723257000043076
A[6-2]x,Air,10,1252,19625.894959000045,0.880052546755756,0.11907818984780845,0.0008692616320171764,F,0.013378110043608404,0.552921396101
A[6-2]x,Gutshot,8,47,188.24815499999997,0.0,0.9322394375,0.06776057812500001,C,9.152799309805673e-05,0.22247941299000046
BBB,Weak pair,4,204,1914.9957440000014,0.9384398402777777,0.06129313194444444,0.0002670277777777778,F,0.11946234083016787,2.28457862166
BBB,Gutshot,4,140,1174.3223759999998,0.7336511892361111,0.26345421180555556,0.002894592881944444,F,0.004515329548652426,0.0855208570672
BBB,Air,4,68,337.90704500000004,1.0,0.0,0.0,F,0.0,0.0
BBB,Top pair,4,144,1920.7788099999996,0.13516155769230767,0.8627596267806268,0.002078806267806268,C,0.017865441600343545,0.37072910000000003
BBB,OESD,3,26,124.15528699999999,0.333339253968254,0.6299047301587302,0.03675601587301587,F/C,0.3395905422405815,0.632755
BBB,Two pair+,4,214,1806.5684790000005,0.0,0.9790351451434349,0.020964874241913747,C,7.1024013467670895e-06,0.03859254959999987
BBB,Third pair,4,99,1288.5941310000003,0.19349087579365082,0.8021800436507937,0.0043290380952380955,C,0.013072886902629149,0.5791381999999999
BBB,Second pair,4,108,1518.2473830000004,0.04701636111111111,0.9478848703703704,0.005098768518518518,C,0.005402209726128177,0.22989160000000003
BBB,Overpair,4,30,256.20387000000005,0.0,0.9918628541666668,0.008137145833333335,C,0.0,0.0
BBx,Weak pair,47,2160,32668.34436299999,0.8061953631089271,0.19314820685886067,0.0006564276188946134,F,0.06402828561918378,3.3870199999999997
BBx,Air,47,2280,31066.329888000022,1.0,0.0,0.0,F,0.0,0.0
BBx,Top pair,47,2070,35146.79988300003,0.00011089671985815602,0.9839607233400726,0.015928374231143627,C,2.0106875955096076e-05,0.04961200304000002
BBx,Third pair,47,377,3378.3156759999997,0.06040771537304303,0.6991919810909833,0.24040032077154522,C,0.023927702574324576,0.6750599999999999
BBx,Gutshot,47,1876,22925.045019999987,0.08444432023080348,0.8610764657152836,0.05447921105891743,C,0.029802744358115817,1.6406437
BBx,Two pair+,47,797,5058.168456,0.0,0.3663896881051161,0.6336103103868557,C/R,0.02626107731782476,1.58365
BBx,Second pair,47,1588,28247.73547100006,0.027820164637568895,0.9169976393458638,0.05518219287379779,C,0.0004248463865547384,0.37293044602
BBx,Overpair,47,462,6593.764127000001,0.0,0.9649933871158395,0.035006613475177306,C,6.0787655831160835e-05,0.010939012370000967
BBx,OESD,46,798,10410.682844999998,0.0,0.8012603685623708,0.19873962510998955,C,0.00068724426982744,0.32272999999999996
BBB,Underpair,1,6,113.96590000000002,0.0,0.999946,5.4000000000000005e-05,C,0.0,0.0
BBx,Underpair,24,192,4814.056999999998,0.0,0.9946101458333333,0.005389857638888888,C,2.625114047011759e-06,0.0004215781650000139
K/Qx con,Weak pair,12,252,1835.8685039999993,0.7389516203703703,0.26104837685185184,0.0,F,0.04768810995580622,0.351427
K/Qx con,Air,14,1635,40263.76892200004,0.7642428029885354,0.19680880588156086,0.03894839173760665,F,0.04815553288131953,0.79718458879
K/Qx con,Gutshot,13,217,3258.605753000001,0.02417940384615385,0.4420323113687783,0.5337882773064354,C/R,0.01866201757685856,0.22764999999999985
K/Qx con,Top pair,14,768,16685.863600000015,0.0,0.9212673252189034,0.07873267457474219,C,0.0005576032965228317,0.1467500000000001
