"board","board_index","decision_node","acting_player","combo","reach_probability","check_frequency","bet_frequency","ev_check","ev_bet","mixed_ev"
"Js 5h 2d","199","UTG_CBET","UTG","KhAh","222.315","0.931552","0.068448","26.3103","26.2839","26.308492972800003"
"Js 5h 2d","199","UTG_CBET","UTG","KhAs","221.497","0.534231","0.465769","22.4557","22.4098","22.4343212029"
"Js 5h 2d","199","UTG_CBET","UTG","KsAc","220.382","0.552158","0.447842","22.3634","22.3026","22.336171206400003"
"Js 5h 2d","199","UTG_CBET","UTG","KsAd","221.421","0.512659","0.487341","22.5573","22.5099","22.5342000366"
"Js 5h 2d","199","UTG_CBET","UTG","KsAh","221.084","0.501687","0.498313","22.5779","22.5385","22.5582664678"
"Js 5h 2d","199","UTG_CBET","UTG","KsAs","219.806","0.815868","0.184132","27.0013","26.9869","26.9986484992"
"Js 5h 2d","199","UTG_CBET","UTG","AcAd","218.836","0.205134","0.794866","71.3356","71.3203","71.3234385502"
"Js 5h 2d","199","UTG_CBET","UTG","AcAh","218.498","0.191595","0.808405","71.3531","71.3484","71.349300496499993"
"Js 5h 2d","199","UTG_CBET","UTG","AcAs","217.45","0.215222","0.784778","70.9179","70.8978","70.9021259622"
"Js 5h 2d","199","UTG_CBET","UTG","AdAh","219.537","0.17459","0.82541","71.6826","71.7077","71.703317791"
"Js 5h 2d","199","UTG_CBET","UTG","AdAs","218.489","0.190381","0.809619","71.2514","71.2486","71.2491330668"
"Js 5h 2d","199","UTG_CBET","UTG","AhAs","218.151","0.178031","0.821969","71.2679","71.2849","71.28187347299999"
"Js 4h 3d","200","UTG_CBET","UTG","2c2d","13.1979","1","0","22.4976","21.4196","22.4976"
"Js 4h 3d","200","UTG_CBET","UTG","2c2h","13.2201","1","0","22.4567","21.3427","22.4567"
"Js 4h 3d","200","UTG_CBET","UTG","2c2s","13.1912","1","0","22.486","21.4363","22.486"
"Js 4h 3d","200","UTG_CBET","UTG","2cAc","175.258","0.364697","0.635303","28.2109","28.215","28.2135047423"
"Js 4h 3d","200","UTG_CBET","UTG","2d2h","13.229","1","0","22.6665","21.5255","22.6665"
"Js 4h 3d","200","UTG_CBET","UTG","2d2s","13.2002","1","0","22.7017","21.6262","22.7017"
"Js 4h 3d","200","UTG_CBET","UTG","2dAd","176.247","0.134914","0.865086","33.7021","33.6983","33.6988126732"
"Js 4h 3d","200","UTG_CBET","UTG","2h2s","13.2224","1","0","22.6601","21.5502","22.6601"
"Js 4h 3d","200","UTG_CBET","UTG","2hAh","176.422","0.089081","0.910919","33.7046","33.7029","33.703051437700005"
"Js 4h 3d","200","UTG_CBET","UTG","2sAs","175.216","0.101814","0.898186","34.0049","34.0036","34.0037323582"
"Js 4h 3d","200","UTG_CBET","UTG","3c3h","16.051","0","1","105.643","122.18","122.18"
"Js 4h 3d","200","UTG_CBET","UTG","3c3s","15.9908","0","1","105.418","121.562","121.562"
"Js 4h 3d","200","UTG_CBET","UTG","3cAc","224.966","0.865265","0.134735","26.2603","26.2302","26.2562444765"
"Js 4h 3d","200","UTG_CBET","UTG","3h3s","16.0519","0","1","105.717","121.897","121.897"
