flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
A[J-T]x,Second pair,16,555,50.38633700000001,0.6901404942548623,0.30985951006971024,BDFD,True,16,16,0.9980833211805555,0.8660508563934363,0.018336068892852976,0.453980374209
A[J-T]x,Two pair+,16,289,436.4877860000002,0.0,1.0,C,False,16,16,1.0,0.0,0.0,0.0
A[J-T]x,Weak pair,8,48,0.6077569999999999,1.0,0.0,F,False,0,0,,,0.0,0.0
A[J-T]x,Underpair,6,21,0.001146,0.9981363888888889,0.0018635694444444444,F,False,0,0,,,0.0,0.0
A[9-2]x,Third pair,28,407,636.4863679999997,0.9583790570651932,0.041620944089207974,F,False,28,28,0.06412571293017497,0.9989865052295919,0.0004618031387543894,0.7083622374980001
A[9-2]x,Second pair,28,571,362.73100200000016,0.6309246143109318,0.36907538224662856,F/C,False,28,28,0.6014953268089054,0.8903337153061223,0.17092300992617138,1.319485
A[9-2]x,Gutshot,28,728,814.276495,0.16437288224078958,0.8356271162272597,C,False,28,25,0.912526736309524,0.303167857115205,0.20696143345716092,1.6537437000000001
A[9-2]x,OESD,16,156,352.7724349999999,0.0,1.0,C,False,16,16,1.0,0.0,0.0,0.0
A[9-2]x,Low pocket pair,16,129,16.39840999999999,1.0,0.0,F,False,0,0,,,0.0,0.0
A[9-2]x,Top pair,28,1092,422.7831549999996,0.002761716173759955,0.9972382838262401,C,False,28,28,0.9997708202380952,0.003473147395786271,0.00198569945725571,0.155390937676
A[9-2]x,Two pair+,28,330,963.3407319999999,2.1651785714285715e-07,0.9999997834821429,C,False,28,28,1.0,3.464285714285714e-07,0.0,0.0
A[9-2]x,Underpair,28,361,73.75653000000004,0.7508495889620582,0.2491504164775879,F,False,0,0,,,1.3852506585739616e-06,0.832065247203
