study,flop,hand,status,reach_weight,share_of_study,share_of_class,positive_reach_rows,positive_reach_boards,frequencies_X,frequencies_B,action_ev_bb_X,action_ev_bb_B,forced_action_local_regret_bb_X,forced_action_local_regret_bb_B,extra_loss_vs_mixed_bb_X,extra_loss_vs_mixed_bb_B,action_loss_p95_bb_X,action_loss_p95_bb_B,action_loss_mass_gt_05_X,action_loss_mass_gt_05_B,action_loss_mass_gt_10_X,action_loss_mass_gt_10_B,mixed_ev_bb,frequencies_F,frequencies_C,frequencies_R,action_ev_bb_F,action_ev_bb_C,action_ev_bb_R,forced_action_local_regret_bb_F,forced_action_local_regret_bb_C,forced_action_local_regret_bb_R,extra_loss_vs_mixed_bb_F,extra_loss_vs_mixed_bb_C,extra_loss_vs_mixed_bb_R,action_loss_p95_bb_F,action_loss_p95_bb_C,action_loss_p95_bb_R,action_loss_mass_gt_05_F,action_loss_mass_gt_05_C,action_loss_mass_gt_05_R,action_loss_mass_gt_10_F,action_loss_mass_gt_10_C,action_loss_mass_gt_10_R
UTG_DEF33,A[K/Q]x,Third pair,observed,313.66985500000004,0.0001357314383871356,0.00785199089598546,108,12,,,,,,,,,,,,,,,1.222283078958052,0.0,0.8333644754106574,0.16663552292014797,0.0,1.2008822611472876,1.2230928359516406,1.2266981116355282,0.02581585048824026,0.003605275683887447,1.2222830800315232,0.02140081888423529,-0.0008097559201175222,2.14023,0.120235,0.0126100000000002,0.8153612498083372,0.00782295130018152,0.0,0.7626534146865976,4.7820980438174394e-08,0.0
UTG_DEF33,A[K/Q]x,Underpair,observed,979.6995,0.0004239362508142759,0.02452448468406856,48,8,,,,,,,,,,,,,,,1.3249051443917244,0.0,0.9999999999999999,0.0,0.0,1.3249051443917244,0.7458898574276093,1.3249051443917244,0.0,0.5790152869641151,1.3249051443917244,0.0,0.5790152869641151,1.5855,0.0,0.70813,0.9999999999999999,0.0,0.8154224841392693,0.9154605060020955,0.0,0.0
UTG_DEF33,A[K/Q]x,Weak pair,observed,10911.53809,0.004721648371252374,0.2731448252937107,809,16,,,,,,,,,,,,,,,0.06526425805127696,0.3301641388390523,0.6626633343360578,0.007172512509217842,0.0,0.07183312989730392,-0.06451524668534567,0.07276684366072748,0.0009337137634236034,0.13728209034607314,0.06526425867745356,-0.006568871219850326,0.1297795053627992,0.308559,0.006469,0.6977451,5.864012889130645e-05,0.0,0.1027324352216966,0.0,0.0,0.0
UTG_DEF33,A[K/Q]x,Combo draw,observed,1727.6235330000002,0.0007475784599242253,0.043247012859448146,165,16,,,,,,,,,,,,,,,1.6440003616094363,0.0,0.9015624386959276,0.09843757502200855,0.0,1.63985296597316,1.6440523679512529,1.65098310421117,0.011130138238010446,0.006930736259917565,1.6440003430143382,0.0041473770411786185,-5.202493691426266e-05,3.7988,0.0582,0.0161000000000002,0.9999999999999998,0.0,0.0,0.9769880652580805,0.0,0.0
UTG_DEF33,A[K/Q]x,OESD,observed,33.8785,1.4659928144509054e-05,0.0008480689786707218,2,2,,,,,,,,,,,,,,,3.3125194648109306,0.0,0.9797147279159346,0.020285272084065113,0.0,3.312605744114999,3.305587150198503,3.312605744114999,0.0,0.007018593916495355,3.312519464810931,-8.627930406788566e-05,0.00693231461242747,3.39441,0.0,0.0112299999999994,1.0,0.0,0.0,1.0,0.0,0.0
UTG_DEF33,A[K/Q]x,Gutshot,observed,1800.031839,0.0007789110325890605,0.04505958537938548,436,16,,,,,,,,,,,,,,,0.8570058236773417,2.448513967646547e-06,0.9613121828850444,0.038685374190684546,0.0,0.8564958305346765,0.8416503342945996,0.859683518127359,0.003187687592682631,0.018033183832759415,0.8570058193932879,0.0005099888586115216,0.015355485098688306,1.19119,0.01941,0.074847,0.9965513887779626,0.0,0.0,0.13657100039773243,0.0,0.0
UTG_DEF33,A[K/Q]x,BDFD,observed,3070.110367,0.0013285002988896297,0.07685302960131307,427,16,,,,,,,,,,,,,,,3.258370164409027e-07,0.9999927685194477,7.231480552503536e-06,0.0,0.0,-0.5984368096570609,-0.7295534996874784,2.8017065947388467e-06,0.5984396113636556,0.7295563013940732,3.2583701644090303e-07,0.5984371354940774,0.729553825524495,0.0,0.8419476,1.2390205,0.0,0.726640840661348,0.7546450501920994,0.0,0.005725862558217275,0.2163529969930882
UTG_DEF33,A[K/Q]x,2 overcards + draw,no_rows,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTG_DEF33,A[K/Q]x,2 overcards,no_rows,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTG_DEF33,A[K/Q]x,A-high,no_rows,0.0,0.0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
