flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_donk_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
Low,Third pair,20,273,34172.70469999998,0.5862341368055556,0.4137658616666666,X/D,0.0018681222403143314,0.06600000000000002
Low,Air,10,144,16576.536899999996,0.7316919137121214,0.2683080609090909,X,6.004743374091942e-05,0.0028674048360000093
Low,A-high,7,36,5608.569999999998,0.6424419285714286,0.3575580714285715,X/D,0.021651244439822467,0.07835
Low,Two pair+,20,380,68936.96439999985,0.36669398368626255,0.6333060110010195,X/D,0.0007332549952164412,0.023358652199999597
Low,Second pair,20,402,55526.37470000001,0.5611693202314816,0.43883068657407415,X/D,0.0011084034356729,0.05579499999999982
Low,A-high + draw,15,132,19268.74400000001,0.5513061972222223,0.44869380555555555,X/D,0.0018517751881988991,0.031095680879999855
Low,Top pair,20,507,74627.15569999996,0.5215197525925925,0.47848024375,X/D,0.0012418044336514064,0.07756500000000024
Low,Overpair,20,570,99910.96899999982,0.5336504631349206,0.4663495400595239,X/D,0.0006011602328902318,0.005673637350000149
Low,2 overcards + draw,20,1865,250296.94157999952,0.4814142433370396,0.5185857562772942,X/D,0.003304367337765097,0.10288006755900003
Low,2 overcards,20,2775,310075.92979999946,0.8342077863519712,0.16579221436634942,X,0.001115544814983211,0.07047400000000001
Low,Underpair,10,90,18932.063999999995,0.5116205333333335,0.48837945833333335,X/D,0.000713300951659322,0.003676819300000034
