flop_class,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_donk_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
A[K/Q]x,Air + OESD + BDFD,2,6,704.202,0.9960508333333333,0.003949166666666667,X,0.003949166666666659,0.0,0.0
A[J-T][9-5],Weak pair,10,450,78672.25400000009,0.99999104375,8.954166666666666e-06,X,9.552222222222528e-06,0.0,0.0
A[J-T][9-5],Air,10,273,29246.76310999999,1.0,0.0,X,0.0,0.0,0.0
A[J-T][9-5],Top pair,10,360,39722.55229999993,0.9954708055555557,0.004529208333333333,X,0.004529201388888887,1.0092725141053345e-06,0.0009536916899996583
A[J-T][9-5],Air + BDFD,10,747,87616.92810000005,1.0,0.0,X,0.0,0.0,0.0
A[J-T][9-5],Top pair + BDFD,10,180,20138.348899999994,0.9777511999999999,0.022248783333333334,X,0.02224879166666665,2.437978292433144e-06,0.0012166238100000727
A[J-T][9-5],Third pair,10,88,10421.307859999997,0.9852699897817461,0.014729999107142854,X,0.016964642045454545,0.0,0.0
A[J-T][9-5],Third pair + BDFD,10,158,20844.0754,0.9578168885912698,0.04218310426587302,X,0.04313680063291139,3.7426075383280454e-09,4.535639998692886e-07
A[J-T][9-5],Air + Gutshot,10,380,38111.62669,0.9860719572261372,0.01392802769436717,X,0.012984536842105251,3.876829754137951e-05,0.006711277580000008
A[J-T][9-5],Second pair,10,364,24726.925820000022,0.9980461225108226,0.001953886864177489,X,0.0021650865384615393,5.690388796292155e-10,2.656190000394076e-07
A[J-T][9-5],Air + Gutshot + BDFD,10,168,15327.0657,0.9571887453968255,0.042811250158730156,X,0.04417584821428571,0.0,0.0
A[J-T][9-5],Second pair + BDFD,10,116,11262.235300000002,0.9970778792857142,0.002922120714285714,X,0.003084387931034484,0.0,0.0
A[J-T][9-5],Air + OESD,5,71,4900.689580000001,0.9928108956776557,0.007189112014652015,X,0.006326485915492953,0.0,0.0
A[J-T][9-5],Air + OESD + BDFD,5,33,3774.7241000000013,0.955745388888889,0.044254544444444446,X,0.045181848484848484,0.0,0.0
A[J-T][9-5],Two pair+,10,164,22131.21351,0.971855252155797,0.0281447353442029,X,0.02706864024390244,0.0,0.0
A[J-T][9-5],Two pair+ + BDFD,10,27,2957.1891999999993,0.9515153,0.048484700000000006,X,0.04679596296296296,0.0,0.0
A[J-T][4-2],Weak pair,6,270,47453.046000000024,0.9999402465277778,5.9749999999999995e-05,X,6.373518518518526e-05,0.0,0.0
A[J-T][4-2],Air + Gutshot,6,252,25354.143799999998,0.9606702976190475,0.03932970238095239,X,0.03932970238095236,1.4164096326844577e-05,0.002027265230000008
A[J-T][4-2],Third pair,6,32,3455.3625999999995,0.7274775952380953,0.27252240476190476,X,0.2410158125,0.0016987368864882432,0.03895846754499992
A[J-T][4-2],Air,6,205,21786.602939999997,1.0,0.0,X,0.0,0.0,0.0
A[J-T][4-2],Top pair,6,216,24344.160000000018,0.9706593888888889,0.029340620370370368,X,0.029340615740740733,8.327995957000462e-06,0.0018381653700004108
A[J-T][4-2],Air + Gutshot + BDFD,6,108,8996.844100000006,0.8831331759259259,0.11686683333333335,X,0.1168668287037037,6.391322694976502e-06,0.0019370388399998716
A[J-T][4-2],Air + BDFD,6,507,64876.90539999998,1.0,0.0,X,0.0,0.0,0.0
A[J-T][4-2],Top pair + BDFD,6,108,12303.597699999998,0.948222212962963,0.0517777962962963,X,0.05177779166666669,4.5765116836010986e-05,0.012534743519999836
A[J-T][4-2],Third pair + BDFD,6,64,6944.149199999996,0.8263948791666667,0.17360513273809522,X,0.16161211718750002,5.759867149223987e-08,3.7317600000363883e-06
A[J-T][4-2],Two pair+,6,90,13353.859199999997,0.9095661777777778,0.09043384444444443,X,0.09043383333333335,8.738335003448163e-07,6.101399999920431e-05
A[J-T][4-2],Two pair+ + BDFD,6,12,1336.4553,0.8850773333333333,0.11492266666666667,X,0.11492266666666666,0.0,0.0
A[J-T][4-2],Second pair,6,228,15661.949439999999,0.9919443926474044,0.00805559960065774,X,0.008454675438596487,0.0,0.0
A[J-T][4-2],Second pair + BDFD,6,78,7858.4605999999985,0.9903233253968254,0.009676686507936507,X,0.009813852564102561,0.0,0.0
A[J-T][9-5],Underpair,5,30,2901.6875,0.9999994666666666,5.333333333333332e-07,X,5.333333333317496e-07,0.0,0.0
A[J-T][4-2],Underpair,3,18,1777.4226,0.9999981666666667,1.8333333333333335e-06,X,1.833333333328853e-06,0.0,0.0
A[9-7]x,Weak pair,18,552,103820.69399999978,0.993108727469136,0.006891265586419753,X,0.00653078260869565,1.6180683941323262e-06,0.0008460426780000141
A[9-7]x,Air,18,1790,162637.6053599998,1.0,0.0,X,0.0,0.0,0.0
A[9-7]x,Top pair,18,810,99570.42059999994,0.9664911925925925,0.03350881111111112,X,0.03350880925925926,6.922169804107499e-06,0.005416262560000007
A[9-7]x,Air + BDFD,18,1374,149005.38810000004,0.9916696119869768,0.008330386195235037,X,0.008644585516739444,4.161421281309857e-05,0.007793292399000062
A[9-7]x,Top pair + BDFD,18,324,36292.85049999999,0.9520665679012347,0.04793343209876543,X,0.04793343209876541,1.1484043517676115e-08,2.5134399997739364e-06
A[9-7]x,Air + Gutshot,18,154,13303.796230000004,0.9871521478109764,0.012847882308849467,X,0.021216087662337676,6.620116470819139e-05,0.011308580712000093
A[9-7]x,Third pair,18,118,14248.652400000006,0.8131203683201058,0.18687964788359787,X,0.20132805508474585,0.0008084514032227847,0.02437653998000009
A[9-7]x,Second pair,18,202,20618.999830000008,0.9384405156525575,0.06155949108763877,X,0.0596502400990099,3.109046563310279e-06,0.0004301771599999782
A[9-7]x,Air + Gutshot + BDFD,18,246,30041.078099999995,0.9216572483686066,0.07834278421516755,X,0.08204442479674799,0.000109444862981998,0.003908207039999922
A[9-7]x,Second pair + BDFD,18,278,40545.842400000016,0.991237888888889,0.008762111992945328,X,0.009039787769784174,2.033383474957308e-06,0.00035256590999992453
A[9-7]x,Third pair + BDFD,18,236,28643.180100000012,0.9592310020502643,0.04076900052910053,X,0.04431742584745763,3.6418406657087904e-06,0.005264289650000009
A[9-7]x,Air + OESD,10,45,3937.7321899999997,0.8976945266666666,0.10230547333333333,X,0.05434664444444445,4.06539448036836e-05,0.0008016875999999229
A[9-7]x,Air + OESD + BDFD,10,63,9646.982,0.8477748777777778,0.1522251277777778,X,0.15646469841269842,0.0,0.0
A[9-7]x,Two pair+,18,154,26218.61179999999,0.8604848842592593,0.13951510185185184,X,0.14196637012987015,0.0,0.0
A[9-7]x,Two pair+ + BDFD,18,46,6420.2008,0.7762310370370371,0.22376896296296295,X,0.24771513043478255,0.000301788078577908,0.09542000000000002
A[9-7]x,Underpair,18,312,43032.33979999999,0.9999012584876544,9.873688271604938e-05,X,0.00013360256410256468,0.0,0.0
A[6-2]x,Weak pair,4,72,14175.999,0.9788955416666667,0.02110447222222222,X,0.021104465277777776,0.0,0.0
A[6-2]x,Air + Gutshot,10,53,6216.5003,0.7914097091666668,0.20859027833333332,X,0.24770416037735848,0.00676434748169138,0.06260347916999986
A[6-2]x,Third pair,10,33,3688.1751,0.7321151708333333,0.2678848291666666,X,0.27262951515151523,0.00691906296249203,0.035044315469999886
A[6-2]x,Air,10,1102,99004.62777999954,0.9999986500737101,1.3508271908271906e-06,X,1.3598003629764568e-06,3.07726206487238e-10,1.9072799997132961e-07
A[6-2]x,Top pair,10,438,55340.07779999999,0.8431552200516794,0.15684477529715762,X,0.15520913470319633,5.1620685262465604e-05,0.012844861540001062
A[6-2]x,Air + Gutshot + BDFD,10,159,18710.460699999996,0.647829956111111,0.3521700572222222,X/D,0.1834639088050314,0.002481352028918819,0.029402202279999658
A[6-2]x,Air + BDFD,10,786,96236.19389999994,0.9457962400645897,0.05420375717716851,X,0.05493190203562337,0.0013858237996319937,0.060029544275999935
A[6-2]x,Top pair + BDFD,10,156,17833.72299999999,0.8285303611111111,0.1714696388888889,X,0.16154891666666668,7.820494776361073e-05,0.009647520859999759
A[6-2]x,Third pair + BDFD,10,66,7411.912499999997,0.7374388041666665,0.26256119583333337,X,0.17149465151515153,0.00038814209696991784,0.00939176539999984
A[6-2]x,Air + OESD,6,12,1732.1149999999998,0.6836048611111112,0.31639513888888887,X,0.3205150833333334,0.001795426408079104,0.009451513140000145
A[6-2]x,Second pair,10,61,7517.3657,0.6584171305555555,0.34158286944444444,X,0.2881076393442623,0.004716454552843732,0.04659915092000002
A[6-2]x,Air + OESD + BDFD,6,36,5217.277999999999,0.6160521851851852,0.38394781481481477,X/D,0.12607499999999996,0.002840739040797691,0.010018022610000088
A[6-2]x,Second pair + BDFD,10,122,15104.0207,0.75128580625,0.24871420694444443,X,0.19202271721311467,0.0008651677622277148,0.019000260640000023
A[6-2]x,Two pair+,10,95,16209.982799999996,0.5606363397222223,0.43936366027777785,X/D,0.22876093684210522,0.004601309518499397,0.0608949999999993
A[6-2]x,Two pair+ + BDFD,10,47,6001.6144,0.43730363333333333,0.5626963833333333,X/D,0.2079707553191489,0.005130650241207458,0.05504499999999979
A[6-2]x,Underpair,10,336,53907.459,0.9613061683333333,0.038693831666666664,X,0.04124200892857139,3.329891583957475e-05,0.0012505260000001072
A[6-2]x,Weak pair + Gutshot,5,48,9669.561,0.7758676166666667,0.22413239999999995,X,0.23517996875,0.0,0.0
A[6-2]x,Third pair + Gutshot,6,12,1184.8854999999999,0.6196529166666668,0.38034708333333334,X/D,0.19354658333333333,0.000348645629449329,0.008530226459999924
A[6-2]x,Second pair + Gutshot,6,12,1749.8529999999996,0.76581825,0.23418175,X,0.23418175,0.00018160009866120553,0.0014876026499997864
A[6-2]x,Top pair + Gutshot,6,12,1582.412,0.9596557499999999,0.04034424999999999,X,0.04034425,0.0,0.0
A[6-2]x,Second pair + Gutshot + BDFD,6,24,3517.1479999999997,0.7711105416666667,0.22888945833333332,X,0.22888945833333332,1.6187827604549429e-06,5.1651079999714966e-05
A[6-2]x,Top pair + Gutshot + BDFD,6,24,3182.3799999999997,0.9075989166666667,0.09240104166666667,X,0.09240106249999998,0.0,0.0
A[6-2]x,Third pair + Gutshot + BDFD,6,24,2381.9404999999997,0.8004721666666667,0.19952783333333335,X,0.19952783333333332,3.723613230703891e-05,0.0004744567599995975
A[6-2]x,Underpair + Gutshot,3,24,4666.650000000001,0.8443754722222222,0.15562452777777777,X,0.1315154583333333,0.0,0.0
BBB,Weak pair,4,162,28643.43699999998,1.0,0.0,X,0.0,0.0,0.0
BBB,Air,4,56,6895.683000000001,1.0,0.0,X,0.0,0.0,0.0
BBB,Top pair,4,25,3025.5927000000006,1.0,0.0,X,0.0,0.0,0.0
BBB,A-high + Gutshot,4,30,3788.989,1.0,0.0,X,0.0,0.0,0.0
BBB,Air + BDFD,4,168,20705.441999999985,1.0,0.0,X,0.0,0.0,0.0
BBB,Top pair + BDFD,4,50,6061.0684,0.9997065535714285,0.00029342857142857144,X,0.00032864999999999696,0.0,0.0
BBB,A-high + Gutshot + BDFD,4,90,11378.473,0.9982006041666667,0.0017993958333333332,X,0.001919355555555554,0.0,0.0
BBB,Second pair,4,13,1061.2304,0.9999993,7e-07,X,1.0769230769214804e-06,0.0,0.0
BBB,Second pair + BDFD,4,26,2130.7031,0.9999916,8.400000000000001e-06,X,1.2923076923076981e-05,0.0,0.0
BBB,Air + Gutshot,4,14,1808.8075999999999,1.0,0.0,X,0.0,0.0,0.0
BBB,Air + Gutshot + BDFD,4,42,5448.1238,1.0,0.0,X,0.0,0.0,0.0
BBB,Air + OESD,4,22,2561.8089999999997,0.9981801071428571,0.0018198928571428572,X,0.002316227272727271,0.0,0.0
BBB,Air + OESD + BDFD,4,66,7711.695899999994,0.9962682547619048,0.003731745238095238,X,0.0019530606060606068,0.0,0.0
BBB,Third pair,4,10,1027.2831,1.0,0.0,X,0.0,0.0,0.0
BBB,Third pair + BDFD,4,20,2066.4404,0.9999710833333333,2.8916666666666667e-05,X,2.3450000000001322e-05,0.0,0.0
BBB,Weak pair + Gutshot,4,24,3946.706999999999,1.0,0.0,X,0.0,0.0,0.0
BBB,Two pair+,4,182,16689.272890000007,0.9954351877117934,0.004564817005187633,X,0.004475151098901099,0.0,0.0
BBB,Third pair + Gutshot,4,62,6351.867440000002,0.9970337693181819,0.002966205681818182,X,0.003734870967741937,0.0,0.0
BBB,Second pair + Gutshot,4,44,6122.5244999999995,0.9995541818181818,0.0004458181818181819,X,0.00044581818181818156,0.0,0.0
BBB,Top pair + Gutshot,4,41,2881.027599999999,1.0,0.0,X,0.0,0.0,0.0
BBB,Two pair+ + BDFD,4,36,3497.357299999999,0.9621288333333333,0.03787116666666667,X,0.03787116666666667,0.0,0.0
BBB,Second pair + Gutshot + BDFD,4,16,1521.5041,0.9999513125,4.8687500000000004e-05,X,4.868749999999919e-05,0.0,0.0
BBB,Top pair + Gutshot + BDFD,4,10,1246.3121999999998,0.9995223124999999,0.00047768750000000003,X,0.00048060000000000436,0.0,0.0
BBB,Third pair + Gutshot + BDFD,4,16,1839.8528000000001,0.9811383124999999,0.0188616875,X,0.018861687499999995,0.0,0.0
BBB,Weak pair + OESD,3,18,2364.435,0.9968791111111112,0.0031208888888888883,X,0.003120888888888889,0.0,0.0
BBB,Third pair + OESD,4,50,2319.02648,0.9992043000000002,0.0007957000000000001,X,0.00063712,0.0,0.0
BBB,Second pair + OESD,4,41,3721.5587000000005,0.99980695,0.00019305000000000003,X,0.00018834146341463424,0.0,0.0
BBB,Top pair + OESD,4,41,4412.461799999999,1.0,0.0,X,0.0,0.0,0.0
BBB,Second pair + OESD + BDFD,4,10,614.0444,0.9895678750000001,0.010432124999999999,X,0.008345699999999994,0.0,0.0
BBB,Top pair + OESD + BDFD,4,10,576.263,0.9988097499999999,0.00119025,X,0.0009522000000000015,0.0,0.0
BBB,Third pair + OESD + BDFD,4,10,1130.6196,0.9973380000000001,0.002662,X,0.002129600000000005,0.0,0.0
BBx,Weak pair,47,2088,379145.74050000194,1.0,0.0,X,0.0,0.0,0.0
BBx,Air,47,873,109811.31459999997,1.0,0.0,X,0.0,0.0,0.0
BBx,Top pair,47,1519,162888.8124999994,0.9997264421310368,0.00027355513762242483,X,0.0002295549703752471,2.8770787792613766e-09,3.1921800001555313e-06
BBx,A-high,47,321,43377.94800000001,1.0,0.0,X,0.0,0.0,0.0
