flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
A-high low,Second pair,27,303,25839.752642000007,0.14655802242798355,0.8534419771604939,B,0.00028577285273250755,0.04995999999999974
A-high low,Underpair,28,1008,203478.1421000002,0.8318325513274756,0.1681674484504913,X,0.0003338956019625771,0.04578999999999951
Broadway,Weak pair,51,2370,299238.92610000045,0.4316429947803195,0.5683570041498079,X/B,0.009147637705880712,0.10556499999999999
Broadway,A-high + draw,46,1184,257595.85199999964,0.19088039361413045,0.8091195998641305,B,2.4102595090820914e-05,0.001932404179999736
Broadway,Air,51,1064,64843.14897999989,0.24628086760426393,0.753719131277233,B,0.00015521640713913869,0.06695999999999991
Broadway,Top pair,51,2214,401117.74360000103,0.33793762582397635,0.6620623764785158,B,0.0005227060856282681,0.02612981708999982
Broadway,Air + draw,51,1088,135870.953078,0.17433244631185804,0.8256675573937909,B,0.00023624038294929437,0.1184000000000001
Broadway,Two pair+,51,1149,191885.9684519998,0.024780399011848732,0.9752195973444266,B,8.612161522971012e-05,0.07025999999999968
Broadway,Third pair,51,528,63906.400733000075,0.20664037931839402,0.7933596206816059,B,0.01086313364362213,0.21967999999999996
Broadway,Second pair,51,1698,268983.09218600055,0.6087636392679578,0.3912363562483634,X/B,0.0019179023083522348,0.0817300000000003
Broadway,Overpair,51,492,106441.29899999994,0.05563452614379085,0.9443654858387799,B,2.2059415189598746e-05,0.0022529425599998377
Broadway,A-high,47,1284,276807.76300000027,0.33708855144376904,0.6629114455673758,B,9.650578325861836e-05,0.03400877339999973
Broadway,Underpair,25,198,43782.255000000005,0.4670469066666665,0.5329530966666668,X/B,0.000572463913172441,0.00309917322000004
K/Q-high,Weak pair,54,1344,99541.00340000009,0.8175106697016461,0.18248933148148147,X,0.0016470360132758207,0.15413999999999994
K/Q-high,A-high,56,3456,755970.0029999992,0.4612179312110262,0.5387820710698341,X/B,0.0017193683986945953,0.044624999999999915
K/Q-high,Air,56,2816,340043.05478600005,0.32354744240537353,0.6764525579249866,B,0.0008184315473175211,0.10539999999999985
K/Q-high,Air + draw,50,924,101665.52177899999,0.08090445508041957,0.919095546816045,B,4.3380775598047065e-05,0.022351682080000046
K/Q-high,Top pair,56,3066,536151.492199999,0.48958854008410385,0.5104114558926313,X/B,0.006618296868800964,0.07699500000000015
K/Q-high,Third pair,56,342,45756.03487400002,0.45651101001984123,0.543488985515873,X/B,0.012344341154281936,0.1376100000000001
K/Q-high,Two pair+,56,616,91873.31790500006,0.000996376138077609,0.9990036238619223,B,0.0,0.0
K/Q-high,Second pair,56,678,75523.9864609999,0.2213455347222222,0.7786544668650794,B,0.0010046906855784164,0.15052999999999983
K/Q-high,Underpair,56,1512,325679.05900000065,0.7271409383574264,0.2728590619177532,X,0.0013915191441350398,0.012401461920000401
K/Q-high,Overpair,56,504,109683.19499999995,0.02448069940476191,0.9755193095238089,B,8.116343005827036e-07,0.00015604004000095982
K/Q-high,A-high + draw,13,128,27269.13500000001,0.17761865624999998,0.8223813437500002,B,4.510102284866599e-05,0.0006803625599999918
Broadway,2 overcards + draw,23,592,129361.74700000002,0.20822955525362316,0.7917704384057972,B,5.510561765259424e-05,0.0019015958399997146
K/Q-high,2 overcards,28,364,79971.36199999996,0.5972755989010989,0.4027243983516483,X/B,0.0004292579856575339,0.0051467452399997175
K/Q-high,2 overcards + draw,28,84,18455.809999999994,0.8590170952380952,0.14098289285714286,X,0.0004282969344554251,0.006254387020000252
Middle connected,Weak pair,22,444,18593.460930000012,0.92752322252886,0.07247677855339106,X,0.0008801486890158364,0.045579999999999996
Middle connected,A-high,25,460,95819.09279999997,0.6476334358333332,0.35236655024999997,X/B,0.0013431396072837972,0.03352499999999985
Middle connected,Air,20,604,60884.89609300005,0.5630358420510795,0.4369641769029463,X/B,0.0011131293749761855,0.08782500000000013
Middle connected,Air + draw,26,336,25886.517005000016,0.1568509744505494,0.8431490239468864,B,0.0011673704312852849,0.12284000000000006
Middle connected,Two pair+,26,386,45545.883583999945,0.0274319552036678,0.9725680423711711,B,0.0003036907273383085,0.08684324000000032
Middle connected,A-high + draw,23,216,42527.184000000016,0.3280492907608696,0.6719506929347826,B,0.0006572047180604792,0.03754999999999988
