flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
K/Qx,Low pocket pair,36,322,313.15592199999986,0.9999990555555556,9.444444444444444e-07,F,False,0,0,,,0.0,0.0
K/Qx,Air,56,6386,81864.47993299995,0.8442977412596483,0.1557022591763775,F,False,56,56,0.4035854485920119,0.9981594664734253,0.03404502745027784,1.85348
K/Qx,Gutshot,49,922,11830.769959000001,0.00676456234796949,0.9932354384044526,C,False,49,49,1.0,0.008645351682435423,0.006988161997846634,0.5266911000000001
K/Qx,Top pair,56,2932,35869.094311999994,0.07100323632504386,0.9289967669908622,C,False,56,56,0.9998323168048469,0.09546462605515185,0.0012023827786314919,0.20201401348700002
K/Qx,OESD,31,168,1665.8713759999998,0.0,1.0,C,False,31,31,1.0,0.0,0.0,0.0
K/Qx,Third pair,56,292,2207.528195000001,0.006547905554267161,0.9934520944457328,C,False,56,52,1.0,0.025103897435897436,0.0016892562525164623,0.2966865419847
K/Qx,Two pair+,56,616,10183.178637999988,0.0,1.0,C,False,37,56,1.0,0.0,0.0,0.0
K/Qx,Second pair,56,670,5675.582938999994,1.9338492063492064e-05,0.9999806615079365,C,False,56,55,1.0,5.907030303030302e-05,0.0,0.0
K/Qx,Underpair,55,1413,10104.499439000005,0.01626368917748918,0.9837363098124098,C,False,0,0,,,0.0013394936974860413,0.190189054712
K/Qx,Overpair,56,504,13830.930800000004,0.0003213809523809523,0.9996786190476193,C,False,0,0,,,0.0,0.0
K/Qx,Weak pair,36,556,1762.8272970000016,0.21917141626750797,0.7808285852366206,C,False,0,0,,,0.03984141848266815,0.3986065
K/Qx,2 overcards + BDFD,20,51,328.99084299999987,0.06388196666666666,0.9361180499999999,C,False,0,0,,,1.923922325536739e-05,0.5518639000000001
[J-8]x con,Low pocket pair,12,106,190.9486250000001,1.0,0.0,F,False,0,0,,,0.0,0.0
[J-8]x con,Air,26,2800,36899.46393000005,0.9310857736043154,0.06891422697903027,F,False,25,26,0.324012184209771,0.9969936013286639,0.013112591263041595,1.01637
[J-8]x con,Gutshot,26,857,12522.957211000008,0.11417179225013627,0.8858282083621697,C,False,26,26,0.9266040554676661,0.131000761171671,0.09930240124785873,2.6794357
[J-8]x con,OESD,24,425,5136.834759999999,0.012285057539682539,0.9877149424603174,C,False,24,24,0.9900045083333332,0.013143717592592592,0.01840383884826715,1.4341324
[J-8]x con,Two pair+,26,386,6510.907237999998,0.0,1.0,C,False,18,26,1.0,0.0,0.0,0.0
[J-8]x con,Third pair,21,69,832.3069820000002,0.09929361904761905,0.9007063809523809,C,False,19,15,1.0,0.15036653333333336,0.027724625192630276,1.526075
[J-8]x con,Second pair,26,139,1937.8936210000002,0.05034984265734266,0.9496501573426573,C,False,26,21,1.0,0.09523880952380955,0.08193675289999522,1.0311667999999998
[J-8]x con,Top pair,26,576,9170.20295499999,0.08945657311675997,0.9105434298594306,C,False,26,26,0.9998955115384616,0.10751605492653452,0.01361851017636368,0.529435
[J-8]x con,Overpair,26,600,13516.304650000005,0.023413783119658124,0.9765862104700855,C,False,0,0,,,5.0524636395003785e-05,0.014002442416799998
[J-8]x dis,Low pocket pair,33,240,290.72250299999985,1.0,0.0,F,False,0,0,,,0.0,0.0
[J-8]x dis,Air,67,7942,116533.66216099991,0.8879379632609478,0.11206203760048551,F,False,67,67,0.46926969958466613,0.9949196498208644,0.02388290871725255,1.775
[J-8]x dis,Gutshot,66,1406,22466.711520999997,0.019546476372786035,0.9804535232978331,C,False,66,66,0.9963733727272727,0.025878992433721073,0.007406240357195658,2.8782082
[J-8]x dis,OESD,53,589,7133.940742999989,0.0,1.0,C,False,53,53,1.0,0.0,0.0,0.0
[J-8]x dis,Two pair+,67,691,13666.103099999997,0.0,1.0,C,False,31,67,1.0,0.0,0.0,0.0
[J-8]x dis,Second pair,67,720,7684.033473999992,0.0,1.0,C,False,67,65,1.0,0.0,0.0,0.0
[J-8]x dis,Top pair,67,1780,29839.579585000007,0.0055857659984238,0.9944142354801973,C,False,67,67,0.9999330542288557,0.007268204898446332,0.00013033971031478912,0.19314800000000001
[J-8]x dis,Overpair,67,1674,42014.222989999915,0.0001937669568822554,0.999806233872305,C,False,0,0,,,0.0,0.0
[J-8]x dis,Third pair,62,253,3963.883889000001,0.017300786738351254,0.982699218637993,C,False,62,57,1.0,0.06815192982456142,0.0009990328066980174,0.303407987206
[J-8]x dis,Weak pair,39,446,943.272615,0.22953921307811498,0.7704607869218851,C,False,0,0,,,0.12183214815312823,0.6427391
[J-8]x dis,Underpair,48,702,7298.141899999997,0.0,1.0,C,False,0,0,,,0.0,0.0
[J-8]x dis,2 overcards + BDFD,64,1145,19233.453703999992,0.011989759869633727,0.9880102396963384,C,False,0,0,,,0.0014799492943421905,0.1851141666192
[J-8]x con,2 overcards + BDFD,24,447,6496.369461000006,0.11065969360991022,0.8893403053217136,C,False,0,0,,,0.006089622940209054,0.9190505999999999
[J-8]x con,Underpair,14,372,3301.169332000001,1.5306122448979592e-08,0.9999999846938775,C,False,0,0,,,0.0,0.0
[7-4]x,Air,20,2257,13201.101487999971,0.9850892255535282,0.014910772861781501,F,False,6,20,0.5002853379629629,0.9946346615429185,0.004451007724053161,0.855049
[7-4]x,Gutshot,20,806,5285.014819000004,0.09279088591303804,0.9072091145869621,C,False,20,20,0.9999995975609757,0.14264579277082984,0.05539272314907594,0.7589638
[7-4]x,OESD,18,247,1309.074957999999,0.0,1.0,C,False,18,18,1.0,0.0,0.0,0.0
[7-4]x,Two pair+,20,252,1794.3237249999972,0.0,1.0,C,False,14,20,1.0,0.0,0.0,0.0
[7-4]x,Third pair,16,49,484.45975599999997,2.8333333333333335e-06,0.9999971666666667,C,False,16,15,1.0,9.066666666666667e-06,0.0,0.0
[7-4]x,Second pair,16,80,823.9090680000002,0.0,1.0,C,False,16,16,1.0,0.0,0.0,0.0
[7-4]x,Top pair,19,151,1417.7687890000002,1.4598684210526316e-05,0.9999854013157895,C,False,19,19,1.0,5.8394736842105266e-05,0.0,0.0
[7-4]x,Overpair,20,822,9651.074350000006,2.7945833333333333e-05,0.9999720541666667,C,False,0,0,,,0.0,0.0
[7-4]x,2 overcards + BDFD,20,944,7012.253431000001,0.26931975754744686,0.7306802393640297,C,False,0,0,,,0.029191096631915936,0.3784381646821
[7-4]x,Underpair,3,36,171.924122,0.0,1.0,C,False,0,0,,,0.0,0.0
