flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
[J-8]x dis,Third pair,67,1200,78490.22008000012,9.950248756218906e-10,0.9136485102700781,0.08635148293848219,C,False,67,67,0.9999999970445391,2.9850746268656717e-09,0.00039381177125375876,0.021676782890000013
[J-8]x dis,Gutshot,67,2663,153744.7900940004,0.021628553524097836,0.3689513236594711,0.6094201141715351,R/C,False,67,67,0.9808913195287714,0.023770413439740682,0.020431878546086052,1.37082215
[J-8]x dis,OESD,63,1049,56696.58870900001,0.0,0.3213064936838175,0.678693506753245,R,False,63,63,0.9999999977954148,0.0,0.0026760926087652935,0.08126999999999995
[J-8]x dis,Second pair,67,1593,118997.64497000001,0.0,0.81208244883842,0.18791755582728492,C,False,67,67,1.0000000074301114,0.0,0.0006157648462557997,0.03538161936000002
[J-8]x dis,Two pair+,67,905,68786.83858000001,0.0,0.21498787250458679,0.7850121171099321,R,False,66,67,0.9999999840067342,0.0,0.005145400299198557,0.17038330080000036
[J-8]x dis,Top pair,67,3108,170549.54000000012,0.0,0.8137803876797965,0.18621961773407075,C,False,67,67,0.9999999995854061,0.0,0.00034654024620885354,0.11043547195999963
[J-8]x dis,2 overcards + BDFD,67,1056,27717.678096,0.024565674045412846,0.6591206341014293,0.31631369812170973,C,False,0,0,,,0.0035333435704077154,0.14677285322700007
[J-8]x dis,Weak pair,57,924,103887.93779999994,0.32852164488304075,0.671104031822612,0.0003743375243664717,C,False,0,0,,,0.001408511777598998,0.0624344
[J-8]x dis,Underpair,48,702,67978.4646,1.65171875e-05,0.9704178715277781,0.02956561018518518,C,False,0,0,,,1.3295791722524431e-05,0.0009450919249999856
[J-8]x con,2 overcards + BDFD,23,412,10434.653542999995,0.061342720023004366,0.6741697866528641,0.26448747038417303,C,False,0,0,,,0.0060526720685366055,0.140062
[J-8]x con,Underpair,14,372,36274.890300000014,0.0029270710317460306,0.9262529447562359,0.07081998123582768,C,False,0,0,,,7.565946624208342e-05,0.0030367994569999723
[J-8]x dis,Overpair,45,468,26525.036199999995,0.0,0.7231809790123456,0.2768190283950618,C,False,0,0,,,4.018253226801764e-05,0.0015800327400000923
[J-8]x con,Overpair,15,156,8390.6811,0.0,0.7574047870370371,0.2425952148148148,C,False,0,0,,,0.00010926218501169247,0.0019869746000004797
[7-4]x,Low pocket pair,6,36,1406.0110999999995,0.9103114444444445,0.08968852777777776,0.0,F,False,0,0,,,0.004030167367931718,0.019263402215200003
[7-4]x,Gutshot,20,1323,36422.846455000035,0.02166614560249596,0.5000980595042485,0.47823579147682904,C/R,False,20,20,0.9999999961678003,0.04007989128293489,0.008493614708317977,0.4807271999999999
[7-4]x,OESD,19,523,11611.074650999995,0.0,0.27986432895039454,0.7201356762105292,R,False,19,19,1.0000000010442773,0.0,0.00436815677956383,0.06797000000000039
[7-4]x,Third pair,20,165,5764.436385000004,0.0,0.9189122941666668,0.0810877225,C,False,20,20,1.0000000249999998,0.0,5.0130708622764494e-05,0.017234097206000065
[7-4]x,Air,20,2945,118428.23854900006,0.8043838584739623,0.1849464186021184,0.010669714767746943,F,False,10,20,0.0981092169973545,0.8010835714015301,0.03527950998998132,1.48821
[7-4]x,Two pair+,20,380,9870.09046799999,0.0,0.24520301849480447,0.7547969739506017,R,False,20,20,0.999999955,0.0,0.008947586956392146,0.15579525289999907
[7-4]x,Second pair,20,267,9547.353111999995,0.0,0.8665404143981483,0.13345958837962962,C,False,20,20,0.9999999875000001,0.0,0.0005370753608801802,0.07611614781000035
[7-4]x,Top pair,20,389,14545.98135,0.0,0.7790594037433862,0.22094059572751323,C,False,20,20,0.9999999925396825,0.0,0.0012394553325973594,0.04618732970999986
[7-4]x,Overpair,20,486,19853.118200000008,0.0,0.8395119608333333,0.16048803680555557,C,False,0,0,,,0.0002534867391822644,0.005230397189999891
[7-4]x,2 overcards + BDFD,20,1091,27771.142474000007,0.3894499730915884,0.47002576278643343,0.1405242699087515,C/F,False,0,0,,,0.146101606160724,0.6193018839099999
[7-4]x,Weak pair,3,36,2859.1023000000005,0.02406910185185185,0.9759308703703704,0.0,C,False,0,0,,,0.0,0.0
[7-4]x,Underpair,3,36,3073.181599999999,0.0,0.9489759814814814,0.05102401851851852,C,False,0,0,,,0.00018774272384857845,0.0021499155559999926
