flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,mean_raise_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
A[J-T][9-5],Air,10,1020,70374.05795999999,1.0,0.0,0.0,F,0.0,0.0,0.0
A[J-T][9-5],Top pair,10,540,35382.893339999995,0.0,0.9232838018518518,0.0767161888888889,C,0.0767161935185185,0.00011113358156995027,0.07206000000000046
A[J-T][9-5],Third pair,10,246,18055.413420000008,0.4279924674338623,0.38221017739417984,0.18979733228835977,F/C,0.48060717682926835,0.08589402070957536,0.28304785
A[J-T][9-5],Air + draw,10,652,36968.96635,0.18007409041483918,0.48182459749666745,0.33810129089772534,C/R,0.37314225766871145,0.02101961019166537,0.79944
A[J-T][9-5],Second pair,10,480,21319.921109999996,0.3985083871539961,0.5221059489919242,0.07938568518518517,F/C,0.3965332791666665,0.10916818912242543,0.554395
A[J-T][9-5],Two pair+,10,191,14297.133009999998,0.0,0.2810598880447725,0.7189400993927125,R,0.2876495759162303,0.002010801058863914,0.1440800000000003
A[J-T][4-2],Weak pair,6,270,24097.209199999998,1.0,0.0,0.0,F,0.0,0.0,0.0
A[J-T][4-2],Air + draw,6,360,16576.78262,0.0848795111111111,0.5645888138888888,0.35053168055555556,C/R,0.35685611111111143,0.0037247938152770894,0.09015463897599982
A[J-T][4-2],Third pair,6,96,4450.623746,0.3468164492063492,0.42249077500000004,0.23069279206349205,F/C,0.5314582291666666,0.1432747353364439,0.323519420608
A[J-T][4-2],Air,6,712,44031.573249999936,1.0,0.0,0.0,F,0.0,0.0,0.0
A[J-T][4-2],Top pair,6,324,17878.660080000016,0.0,0.9329946080246914,0.0670053950617284,C,0.06700539351851854,7.91992149212591e-05,0.05301581141999989
A[J-T][4-2],Two pair+,6,102,6587.330399999999,0.0,0.25592850000000006,0.7440714705882354,R,0.25592851470588235,0.009370310540388548,0.23576999999999942
A[J-T][4-2],Second pair,6,306,11707.998439999994,0.2040523461988304,0.6951421035087719,0.10080552670565303,C,0.2978656323529411,0.004122249328390679,0.06369692445120001
A[J-T][9-5],Underpair,5,30,1711.7011,0.42028790000000005,0.5756996666666666,0.004012366666666667,F/C,0.16652170000000005,0.002313747035390314,0.017155433532199997
A[J-T][4-2],Underpair,3,18,904.2975,0.35487722222222223,0.6451227777777778,0.0,F/C,0.16460466666666668,0.00043186770800698177,0.0027784175674999993
A[9-7]x,Weak pair,18,552,48507.60330000005,0.8864806075617284,0.1134535799382716,6.580308641975307e-05,F,0.1171204048913045,0.002394694818305564,0.0300667038258
A[9-7]x,Air,18,3164,144332.78041999988,0.9664713095004124,0.032859058788711225,0.000669632996064693,F,0.03625744310998734,0.0007124157679993647,0.417464
A[9-7]x,Top pair,18,1134,61436.10733000002,0.0,0.9594962680776017,0.04050373456790124,C,0.0405037332451499,2.1685057053562205e-05,0.023911369440000385
A[9-7]x,Air + draw,18,508,24575.16567999999,0.0036361677469135805,0.40765688326018124,0.5887069424668309,C/R,0.27249005905511814,0.00543501569408013,0.35640325
A[9-7]x,Third pair,18,354,17987.798139999988,0.026209756613756616,0.8755835671516754,0.0982066776234568,C,0.1244467782485876,0.0019027837504052576,0.18961509999999998
A[9-7]x,Second pair,18,480,27194.966579999986,0.0037799765873015876,0.7279371775232483,0.268282844368286,C,0.2735723239583331,0.0033248089191030917,0.13074752671200002
A[9-7]x,Two pair+,18,199,12437.697710000004,0.0,0.3298764527777778,0.6701235407407408,R,0.3329496457286432,0.0067258797533852974,0.12441000000000031
A[9-7]x,Underpair,18,312,19700.33099999999,0.05228054398148149,0.940519226080247,0.007200225308641974,C,0.05867665865384619,0.00014605822478499332,0.013208370704999996
A[6-2]x,Weak pair,9,120,8092.685299999997,0.405794524691358,0.5428481604938271,0.051357320987654324,F/C,0.4515143125,0.12898037663353945,0.482483685862
A[6-2]x,Air + draw,10,260,7557.69381,0.0022564991666666665,0.4598069786607143,0.5379365286309523,C/R,0.3360774115384613,0.012675978844797283,0.16476458170000044
A[6-2]x,Third pair,10,135,4220.150939999999,0.0017629708333333333,0.6897828222222222,0.3084542069444445,C,0.26844624444444437,0.004815228916936454,0.3101761565999997
A[6-2]x,Air,10,1888,69976.14189000001,0.9702801072908616,0.02868978812401988,0.0010301030754189973,F,0.030199248146186436,0.0007140920637578935,0.409317
A[6-2]x,Top pair,10,630,25292.824146000006,0.0,0.9446549238095239,0.05534507301587303,C,0.05534507460317463,4.7352459628309917e-05,0.007713548640000312
A[6-2]x,Second pair,10,219,7870.734969999997,1.2916666666666667e-06,0.6291580083333332,0.37084071527777773,C/R,0.27499649543378984,0.018094272513931305,0.2112571
A[6-2]x,Two pair+,10,137,4096.692765000001,0.0,0.2473620860714286,0.7526379289285714,R,0.24249207299270076,0.006617518596252281,0.2956194087600011
A[6-2]x,Underpair,10,360,20029.19999999999,0.06192332242063492,0.8950551400595238,0.04302151569444444,C,0.11031319583333322,0.0019967706127814763,0.0433834638917
BBB,Weak pair,4,204,27846.584299999995,0.9444444444444444,0.025100611111111108,0.030454944444444444,F,0.058823529411764705,0.05396074514824747,1.8436581433600001
BBB,Air,4,224,21782.120399999993,1.0,0.0,0.0,F,0.0,0.0,0.0
BBB,Top pair,4,177,14514.736320000004,0.13303223412698412,0.835339838888889,0.03162792698412698,C,0.16497628248587567,0.0026676212655603205,0.0575218
BBB,A-high + draw,4,128,12947.042199999993,0.7913865234375002,0.130588640625,0.07802484375,F,0.20861348046875,0.03464358730403362,0.846838386144
BBB,Second pair,4,150,12134.164400000001,0.21747311634199135,0.7326230411255411,0.04990383658008658,C,0.27203732333333347,0.03555042594718134,0.4920292
