flop_class,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_bet_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
K/Qx con,Second pair,14,120,15045.174889,0.28689901388888883,0.7131009781746032,B,0.31039309583333347,0.004486276340093134,0.15052999999999983
K/Qx con,Underpair,14,462,93976.86150000003,0.7604462631944446,0.23955373133030985,X,0.24177248593073622,0.0010433358835178611,0.006766293600000495
K/Qx con,Overpair,14,126,27207.129000000015,0.042495029761904765,0.9575049642857143,B,0.05554260714285716,4.1834200617110753e-07,3.065119999945409e-05
K/Qx dis,Weak pair,42,1092,88096.50030000012,0.7951034015873016,0.20489660006613755,X,0.24975200869963388,0.001533230964402009,0.12893000000000007
K/Qx dis,A-high,42,2640,579043.9689999993,0.4345889582742818,0.5654110438633787,X/B,0.2612896564393943,0.001521295602232666,0.044624999999999915
K/Qx dis,Air,42,2088,248733.89324399983,0.30308599714352297,0.6969140054958827,B,0.35487070186781633,0.0006909373487170752,0.10539999999999985
K/Qx dis,Air + draw,36,696,81056.59886700004,0.08944362650058274,0.9105563746813758,B,0.18000658045977017,5.4410489065668276e-05,0.022351682080000046
K/Qx dis,Top pair,42,2298,402588.26569999947,0.46275630771579107,0.537243688659806,X/B,0.2730780067449958,0.0066087454133320275,0.07699500000000015
K/Qx dis,Third pair,42,246,33980.63890199999,0.3771130761904763,0.6228869158730159,X/B,0.3368970304878049,0.00844471400455245,0.10672500000000014
K/Qx dis,Two pair+,42,446,68140.71370500003,0.00012059793539793543,0.9998794020646021,B,0.00012663677130044838,0.0,0.0
K/Qx dis,Second pair,42,558,60478.811571999984,0.19949437500000003,0.8005056297619045,B,0.20534908691756262,0.00013858462790815413,0.023948107950000973
K/Qx dis,Underpair,42,1050,231702.19750000033,0.7160391634117536,0.2839608387802343,X,0.27330793476190485,0.0015327399457186752,0.012401461920000401
K/Qx dis,Overpair,42,378,82476.06599999996,0.018475922619047614,0.981524091269841,B,0.023966595238095235,9.413732019115118e-07,0.00015604004000095982
K/Qx con,A-high + draw,7,80,16900.465000000007,0.20002011160714286,0.7999798883928572,B,0.25401502499999984,4.9486111609902466e-05,0.0006803625599999918
K/Qx dis,A-high + draw,6,48,10368.67,0.151483625,0.848516375,B,0.151483625,3.7953525712469095e-05,0.000466439399999885
BBx,2 overcards + draw,23,592,129361.74700000002,0.20822955525362316,0.7917704384057972,B,0.23790108192567586,5.510561765259424e-05,0.0019015958399997146
K/Qx con,2 overcards,7,91,19851.466999999997,0.6633087582417583,0.3366912527472527,X,0.3366912472527472,0.0002841798172291876,0.002640619560000346
K/Qx con,2 overcards + draw,7,21,4582.282999999999,0.9453340476190475,0.054665952380952385,X,0.05466595238095237,1.076699582028724e-05,0.0001923833500008243
K/Qx dis,2 overcards,21,273,60119.895000000026,0.5752645457875458,0.4247354468864468,X/B,0.18016784981684966,0.00033076777868179427,0.003250497730000035
K/Qx dis,2 overcards + draw,21,63,13873.527,0.8302447777777777,0.16975520634920635,X,0.16975521428571425,0.0005662027704983313,0.006254387020000252
[J-8]x con,Weak pair,22,444,18593.460930000012,0.92752322252886,0.07247677855339106,X,0.12696017454954947,0.0008801486890158364,0.045579999999999996
[J-8]x con,A-high,25,460,95819.09279999997,0.6476334358333332,0.35236655024999997,X/B,0.2371055413043478,0.0013431396072837972,0.03352499999999985
[J-8]x con,Air,20,604,60884.89609300005,0.5630358420510795,0.4369641769029463,X/B,0.2738860240066225,0.0011131293749761855,0.08782500000000013
[J-8]x con,Air + draw,26,336,25886.517005000016,0.1568509744505494,0.8431490239468864,B,0.23201459226190474,0.0011673704312852849,0.12284000000000006
[J-8]x con,Two pair+,26,386,45545.883583999945,0.0274319552036678,0.9725680423711711,B,0.047088797927461123,0.0003036907273383085,0.08684324000000032
[J-8]x con,A-high + draw,23,216,42527.184000000016,0.3280492907608696,0.6719506929347826,B,0.34492675231481473,0.0006572047180604792,0.03754999999999988
[J-8]x con,Third pair,26,183,22629.452863000013,0.6606012435897437,0.33939875747863246,X,0.21806781420765028,0.00033484279548102536,0.03554943119999976
[J-8]x con,Second pair,26,252,30307.470720999983,0.47285326448060483,0.52714674265286,X/B,0.36266582539682546,0.00878549975348383,0.1093049999999998
[J-8]x con,Top pair,26,819,123001.34837000018,0.48250099638630606,0.5174990002254156,X/B,0.34643381440781457,0.010744768040887444,0.16274999999999978
[J-8]x con,Overpair,26,672,134094.24000000017,0.32900983472222217,0.670990156303419,B,0.3534034806547619,0.0007527386619699584,0.012836429299999707
[J-8]x con,2 overcards + draw,26,901,160025.84407000022,0.5839826574876577,0.41601734413064634,X/B,0.26477454328523853,0.0031789850569359014,0.04906000000000006
[J-8]x con,Underpair,22,444,79320.13780000008,0.6043610015692641,0.3956389895382394,X/B,0.1805864583333334,0.00032360682613392363,0.004000117440000395
[J-8]x con,2 overcards,25,1843,318413.2584500003,0.48130174889390615,0.5186982452999226,X/B,0.20942572273467144,0.0005927182537759496,0.019374999999999965
[J-8]x dis,Weak pair,67,1602,113862.83428000008,0.8891688966003316,0.11083110149253728,X,0.1393538517478154,0.0005672809390427959,0.08651999999999979
[J-8]x dis,A-high,67,1616,345992.7564000003,0.5856348962375622,0.4143651101057215,X/B,0.22791973855198042,0.0010437160718055117,0.03329500000000003
[J-8]x dis,Air,61,1652,175326.94071599975,0.5080867628448138,0.4919132345569859,X/B,0.27490553571428583,0.0012396572467148165,0.06722499999999983
[J-8]x dis,Air + draw,65,932,64973.14460100001,0.1502611307534132,0.8497388687262738,B,0.200848842811159,0.0017379627693689728,0.18972000000000017
[J-8]x dis,Third pair,67,390,51933.004195999965,0.43203463606965187,0.5679653564676616,X/B,0.3661430294871794,0.02263294808722724,0.22771500000000025
[J-8]x dis,Two pair+,67,691,90496.68453499992,0.003411653912256897,0.9965883440976933,B,0.004595923299565846,3.3452337516269894e-06,0.00082215100000127
[J-8]x dis,Second pair,67,882,96610.4496669999,0.4627363441127695,0.5372636476782753,X/B,0.3190482414965987,0.004625119169942766,0.15576000000000007
[J-8]x dis,A-high + draw,22,188,37135.40499999999,0.2531876352272728,0.746812359090909,B,0.2666727792553192,0.0018857165051338446,0.06602999999999995
[J-8]x dis,Underpair,52,726,152576.32989999995,0.6609508551282051,0.33904915438034194,X,0.3403992382920108,0.0008294332446930135,0.008454857070000089
