flop_category,hand_category,boards_present,active_combos,reach_sum,mean_check_frequency,mean_donk_frequency,policy,bdfd_rule,bdfd_boards_present,no_bdfd_boards_present,bdfd_mean_continue_frequency,no_bdfd_mean_fold_frequency,mean_local_loss_bb,max_combo_loss_bb
K/Qx,Gutshot,52,1569,167772.62046999982,0.9772647773401391,0.022735219867701183,X,False,0,0,,,3.314513389178478e-06,0.00302064423000008
K/Qx,Third pair,56,1011,128149.55290000007,0.995215009034864,0.004784994146825395,X,False,0,0,,,3.2713895280559515e-06,0.001577448600000153
K/Qx,Second pair,56,1386,186103.99045000022,0.9944890687630988,0.005510929507446918,X,False,0,0,,,1.6036844535567702e-06,0.0012959201099999262
K/Qx,OESD,40,440,51393.43367000001,0.9780793739583336,0.02192061354166666,X,False,0,0,,,4.3824581805206867e-07,0.00013014612000077362
K/Qx,Two pair+,56,624,103123.14410000006,0.9720509716411565,0.02794903543792517,X,False,0,0,,,4.666754491115287e-08,1.3039299997785746e-05
K/Qx,Underpair,55,1332,210869.17100000044,0.9973449986507937,0.002655004329004328,X,False,0,0,,,9.942841399040165e-09,1.0899840000000438e-05
K/Qx,Weak pair,42,672,130454.25200000017,0.9988578617063492,0.0011421462301587303,X,False,0,0,,,1.6484036889493891e-09,4.6996599998294644e-07
[J-8]x con,Low pocket pair,22,372,77644.86300000006,0.916960917929293,0.08303907765151514,X,False,0,0,,,2.775562929933382e-05,0.002066163399999965
[J-8]x con,Air,26,3966,489335.8924800011,0.9521274319016726,0.047872568404307175,X,False,0,0,,,0.00015355756161174492,0.02651373330000002
[J-8]x con,Gutshot,26,1392,178879.93064999976,0.8774043345991115,0.12259567019108153,X,False,0,0,,,0.00041010789016903917,0.14505999999999997
[J-8]x con,OESD,26,725,94738.51615000002,0.8714407485962142,0.12855926862667413,X,False,0,0,,,0.0004078421102716351,0.049195729799999734
[J-8]x con,Third pair,26,420,56053.34739999999,0.9465435978123727,0.053456410592185595,X,False,0,0,,,3.7443637118646835e-05,0.01174987776000016
[J-8]x con,Second pair,26,465,63468.457500000026,0.942917914000814,0.057082095680708184,X,False,0,0,,,1.4636071108874197e-05,0.006042509480000291
[J-8]x con,Two pair+,26,527,76208.63313000002,0.8292948988208848,0.17070511114263748,X,False,0,0,,,4.817083048770076e-05,0.01835384879999964
[J-8]x con,Top pair,26,984,112752.32179000009,0.9210077732283524,0.07899222482084828,X,False,0,0,,,8.47535464960532e-06,0.0022013441500000398
[J-8]x dis,Low pocket pair,46,582,122925.37499999994,0.9474684779589373,0.052531518417874394,X,False,0,0,,,4.049738439148879e-06,0.0005058041999999929
[J-8]x dis,Air,67,10993,1373144.7951200102,0.9708651460580542,0.029134853030857225,X,False,0,0,,,6.84264210424401e-05,0.03466120649899995
[J-8]x dis,Third pair,67,1200,151001.73709999988,0.9717669837597729,0.028233020911316433,X,False,0,0,,,1.6972262103037725e-06,0.0006469153599997668
[J-8]x dis,Gutshot,67,2666,331028.4884700004,0.9302623817582668,0.06973761628071995,X,False,0,0,,,0.00024691019034087065,0.07755999999999989
[J-8]x dis,OESD,63,1049,127546.84331999999,0.9134970538149628,0.08650294398745548,X,False,0,0,,,2.278303910293699e-05,0.010637245439999887
[J-8]x dis,Second pair,67,1593,231124.3917299998,0.9569490328980994,0.043050971056155005,X,False,0,0,,,4.154532536739741e-06,0.002880881249999945
[J-8]x dis,Two pair+,67,905,152928.84893000012,0.8942618861929386,0.10573810901025692,X,False,0,0,,,5.872263020980794e-06,0.004270911560000456
[J-8]x dis,Top pair,67,3108,334426.0335200009,0.9423255689908222,0.05767443206348956,X,False,0,0,,,4.414239527964685e-06,0.011599953860000766
[J-8]x dis,2 overcards + BDFD,67,1059,73882.99140000001,0.9115601624391501,0.08843983991737947,X,False,0,0,,,0.001278907703819826,0.12251436408000008
[J-8]x dis,Weak pair,57,924,187148.38199999987,0.9649234621832359,0.03507654337231969,X,False,0,0,,,2.3006162157857948e-09,1.8024599999222346e-06
[J-8]x dis,Underpair,48,702,131062.34600000008,0.9749969395254626,0.025003058159722227,X,False,0,0,,,2.3396046312669183e-07,0.0001464649199999002
[J-8]x con,2 overcards + BDFD,23,414,29190.9746,0.8517030406027146,0.1482969581090407,X,False,0,0,,,0.0017643610635908267,0.102989916722
[J-8]x con,Underpair,14,372,72391.99500000014,0.9724755054421769,0.027524488605442175,X,False,0,0,,,1.5520170159889198e-06,0.0005042159999998575
[J-8]x dis,Overpair,45,468,63646.14399999999,0.9026183475308642,0.09738165123456789,X,False,0,0,,,1.2752094004441295e-05,0.0009229510399997309
[J-8]x con,Overpair,15,156,21399.735000000015,0.8596805703703703,0.14031944074074074,X,False,0,0,,,4.162002254207816e-05,0.0022907601599996496
[7-4]x,Low pocket pair,6,36,8015.688,0.40796994444444445,0.5920300555555555,D/X,False,0,0,,,0.00020034272179447502,0.0012052892399999847
[7-4]x,Gutshot,20,1331,197183.87327999936,0.49247788098477596,0.5075221206779158,D/X,False,0,0,,,0.0008024336053941428,0.05999999999999996
[7-4]x,OESD,19,523,81084.4100000001,0.4298608995681643,0.5701391015040128,D/X,False,0,0,,,0.0004544737661191723,0.004114351799999838
[7-4]x,Third pair,20,165,19511.1136,0.6849383969444445,0.31506160638888886,X,False,0,0,,,0.0007420675267099038,0.015429580669999865
[7-4]x,Air,20,2955,332261.0366999997,0.828172024946349,0.17182797550449508,X,False,0,0,,,0.001280743974214195,0.07681992450599999
[7-4]x,Two pair+,20,380,68936.96439999985,0.36669398368626255,0.6333060110010195,D/X,False,0,0,,,0.0007332549952164412,0.023358652199999597
[7-4]x,Second pair,20,267,33749.09269999998,0.6556096606481481,0.34439035379629634,X,False,0,0,,,0.000512276764686515,0.010289700540000269
[7-4]x,Top pair,20,390,56459.71270000004,0.6110913855555558,0.38890861039682545,X/D,False,0,0,,,0.001454061449361084,0.07756500000000024
[7-4]x,Overpair,20,486,82825.98199999984,0.559172115,0.44082788916666676,X/D,False,0,0,,,0.0005981809490869224,0.005673637350000149
[7-4]x,2 overcards + BDFD,20,1125,144919.47300000017,0.4822474941131465,0.5177525121549842,D/X,False,0,0,,,0.005309430461003761,0.10288006755900003
[7-4]x,Weak pair,3,36,7932.782999999998,0.7684941018518519,0.23150589814814815,X,False,0,0,,,0.0,0.0
[7-4]x,Underpair,3,36,7511.462999999996,0.8609249999999999,0.1390749722222222,X,False,0,0,,,2.8832022757006286e-05,0.0005427438400001705
